Barangays,10 Digit Code,City,10 Digit Code
Antipolo,501716001,City of Iriga,501716000
Cristo Rey,501716002,,
Del Rosario,501716003,,
Francia,501716004,,
La Anunciacion,501716005,,
La Medalla,501716006,,
La Purisima,501716007,,
La Trinidad,501716008,,
Niño Jesus,501716009,,
Perpetual Help,501716010,,
Sagrada,501716011,,
Salvacion,501716012,,
San Agustin,501716013,,
San Andres,501716014,,
San Antonio,501716015,,
San Francisco (Pob.),501716016,,
San Isidro,501716017,,
San Jose,501716018,,
San Juan,501716019,,
San Miguel,501716020,,
San Nicolas,501716021,,
San Pedro,501716022,,
San Rafael,501716023,,
San Ramon,501716024,,
San Roque (Pob.),501716025,,
San Vicente Norte,501716026,,
San Vicente Sur,501716027,,
Santa Cruz Norte,501716028,,
Santa Cruz Sur,501716029,,
Santa Elena,501716030,,
Santa Isabel,501716031,,
Santa Maria,501716032,,
Santa Teresita,501716033,,
Santiago,501716034,,
