Barangays,10 Digit Code,Municipality,10 Digit Code,
Anayan,501728001,Pili (Capital),501728000,
Bagong Sirang,501728002,,,
Binanwaanan,501728003,,,
Binobong,501728004,,,
Cadlan,501728005,,,
Caroyroyan,501728006,,,
Curry,501728007,,,
Del Rosario,501728008,,,
Himaao,501728009,,, 
La Purisima,501728010,,,
New San Roque,501728011,,,
Old San Roque (Pob.),501728012,,,
Palestina,501728013,,,
Pawili,501728014,,,
Sagurong,501728015,,,
Sagrada,501728016,,,
San Agustin,501728017,,,
San Antonio (Pob.),501728018,,,
San Isidro (Pob.),501728019,,,
San Jose,501728020,,,
San Juan (Pob.),501728021,,,
San Vicente (Pob.),501728022,,,
Santiago (Pob.),501728023,,,
Santo Niño,501728024,,,
Tagbong,501728025,,,
Tinangis,501728026,,,
