Barangays,10 Digit Code,Municipality,10 Digit Code,,,,
Alianza,501732001,San Fernando,501732000,,,,
Beberon,501732002,,,,,,.
Bical,501732003,,,,,,
Bocal,501732004,,,,,,
Bonifacio (Pob.),501732005,,,,,,
Buenavista (Pob.),501732006,,,,,,
Calascagas,501732007,,,,,,
Cotmo,501732008,,,,,,
Daculang Tubig,501732009,,,,,,
Del Pilar (Pob.),501732010,,,,,,
Gñaran,501732011,,,,,,
Grijalvo,501732012,,,,,,
Lupi,501732013,,,,,,
Maragñi,501732014,,,,,,
Pamukid,501732015,,,,,,
Pinamasagan,501732016,,,,,,
Pipian,501732017,,,,,,
Planza,501732018,,,,,,
Rizal (Pob.),501732019,,,,,,
San Joaquin,501732020,,,,,,
Santa Cruz,501732021,,,,,,
Tagpocol,501732022,,,,,,
